,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
82,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI2,2023-09-09 11:00:00,retailer_world
83,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI3,2023-09-09 11:00:00,retailer_world
84,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI4,2023-09-09 11:00:00,retailer_world
85,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI5,2023-09-09 11:00:00,retailer_world
86,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI6,2023-09-09 11:00:00,retailer_world
87,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI7,2023-09-09 11:00:00,retailer_world
88,0.20992,0.20992,0.20992,0.20992,128.08,128.08,128.08,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MGP,2023-09-09 12:00:00,retailer_world
89,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI1,2023-09-09 12:00:00,retailer_world
90,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI2,2023-09-09 12:00:00,retailer_world
91,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI3,2023-09-09 12:00:00,retailer_world
92,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI4,2023-09-09 12:00:00,retailer_world
93,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI5,2023-09-09 12:00:00,retailer_world
94,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI6,2023-09-09 12:00:00,retailer_world
95,0,0,0,0,0,0,0,,2023-09-09 12:00:00,2023-09-09 13:00:00,,MI7,2023-09-09 12:00:00,retailer_world
96,0.15329,0.15329,0.15329,0.15329,128.08,128.08,128.08,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MGP,2023-09-09 13:00:00,retailer_world
97,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI1,2023-09-09 13:00:00,retailer_world
98,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI2,2023-09-09 13:00:00,retailer_world
99,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI3,2023-09-09 13:00:00,retailer_world
100,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI4,2023-09-09 13:00:00,retailer_world
101,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI5,2023-09-09 13:00:00,retailer_world
102,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI6,2023-09-09 13:00:00,retailer_world
103,0,0,0,0,0,0,0,,2023-09-09 13:00:00,2023-09-09 14:00:00,,MI7,2023-09-09 13:00:00,retailer_world
104,0.20112,0.20112,0.20112,0.20112,128.08,128.08,128.08,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MGP,2023-09-09 14:00:00,retailer_world
105,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI1,2023-09-09 14:00:00,retailer_world
106,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI2,2023-09-09 14:00:00,retailer_world
107,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI3,2023-09-09 14:00:00,retailer_world
108,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI4,2023-09-09 14:00:00,retailer_world
109,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI5,2023-09-09 14:00:00,retailer_world
110,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI6,2023-09-09 14:00:00,retailer_world
111,0,0,0,0,0,0,0,,2023-09-09 14:00:00,2023-09-09 15:00:00,,MI7,2023-09-09 14:00:00,retailer_world
