timestamp,mgp_volume_MWh,mi1_volume_MWh,mi2_volume_MWh,mi3_volume_MWh,mi4_volume_MWh,mi5_volume_MWh,mi6_volume_MWh,mi7_volume_MWh,mgp_price_EUR_MWh,mi1_price_EUR_MWh,mi2_price_EUR_MWh,mi3_price_EUR_MWh,mi4_price_EUR_MWh,mi5_price_EUR_MWh,mi6_price_EUR_MWh,mi7_price_EUR_MWh,mi_price_EUR_MWh,cluster_total_load_MW,actual_consumption_MWh,mi_volume_MWh,cluster_total_load_forecast_MW,contracted_volume_MWh,consumption_forecast_MWh,imbalance_MWh,imbalance_cost_EUR,imbalance_price_EUR_MWh,imbalance_value_gap_EUR,surplus_sold_MWh,surplus_sale_revenue_EUR,inventory_MWh,customer_revenue_EUR,hourly_cost_EUR,hourly_revenue_EUR,macrozone_price_EUR_MWh,macro_imbalance_MWh,imbalance_coeff,terna_penalty_EUR,terna_incentive_EUR,purchase_price_EUR_MWh,retail_tariff_EUR_MWh,hourly_profit_EUR
2024-01-30 04:00:00,0.088375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072551,0.072551,0.0,0.0707,0.088375,0.0707,-0.01582399999999999,0.7091012363963362,128.03359027811942,0.6167655645609613,0.01582399999999999,0.0,0.0,8.887535732868125,8.579513611396337,8.887535732868125,62.15411630470148,-99.827,0.4,0.01774702742399998,0.0,89.057,122.50052697920255,0.3080221214717884
2024-01-30 05:00:00,0.0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083199,0.083199,0.0,0.07656,0.0957,0.07656,-0.012500999999999998,0.5292433778482398,120.96023811769115,0.39882237970925716,0.012500999999999998,0.0,0.0,10.130129282371145,9.051998277848238,10.130129282371145,78.14941270577214,-16.045999999999992,0.4,0.011075990695874997,0.0,89.05699999999999,121.75782500235755,1.0781310045229073
2024-01-30 06:00:00,0.16594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13854,0.13854,0.0,0.132749,0.16594,0.132749,-0.027400000000000008,1.1182929330574822,116.61031627293869,0.7549608658785203,0.027400000000000008,0.0,0.0,16.80505206772756,15.896411513057483,16.80505206772756,96.5929093176533,-256.48799999999994,0.4,0.05321011500000004,0.0,89.057,121.30108320865857,0.9086405546700753
2024-01-30 07:00:00,0.25837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201088,0.201088,0.0,0.206699,0.25837,0.206699,-0.057282,2.795857318206984,139.45329713183318,1.9695440263056687,0.057282,0.0,0.0,28.094526544432835,29.94279321820698,28.094526544432835,103.19275067041704,-330.234,0.4,0.17226444501,0.0,105.07,139.71259619884248,-1.8482666737741447
2024-01-30 08:00:00,0.21017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23562,0.23562,0.0,0.247259,0.21017,0.247259,0.02545,3.3504028359505607,131.64647685463893,-0.5598103359505604,0.0,0.0,0.0,39.85369586294701,26.395543335950563,39.85369586294701,126.7470953634027,9.120000000000005,0.4,0.097155375,0.0,109.65000000000002,169.14394305639172,13.45815252699645
2024-01-30 09:00:00,0.2839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206768,0.206768,0.0,0.227119,0.2839,0.227119,-0.07713199999999998,3.372104164007568,124.91032678701335,1.1770595257359127,0.07713199999999998,0.0,0.0,29.519354337155207,34.50173916400757,29.519354337155207,105.20966403246666,417.941,0.4,0.0,0.3123406347599998,109.65,142.7655843126364,-4.9823848268523605
2024-01-30 10:00:00,0.16388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1729089999999999,0.1729089999999999,0.0,0.1927989999999999,0.16388,0.1927989999999999,0.009028999999999898,1.2729678859542586,140.9865861063543,-0.2829380359542698,0.0,0.0,0.0,29.73100673511907,19.24240988595426,29.73100673511907,97.2102104841142,34.98999999999998,0.4,0.012228426149999723,0.0,109.65,171.9459758319063,10.48859684916481
2024-01-30 11:00:00,0.25348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174441,0.174441,0.0,0.20278,0.25348,0.20278,-0.07903899999999997,3.5516935691474174,128.38846533799475,1.4810695618497656,0.07903899999999997,0.0,0.0,24.96787793961264,31.345775569147417,24.96787793961264,95.8025299050131,145.24599999999998,0.4,0.0,0.32797608485249974,109.65,143.13078886048945,-6.377897629534775
2024-01-30 12:00:00,0.12703,0.00023283,0.0,0.0,0.0,0.0,0.0,0.0,109.65,49.69,0.0,0.0,0.0,0.0,0.0,0.0,49.69,0.1485199999999999,0.1485199999999999,0.00023283,0.149451,0.12726283,0.149451,0.02125716999999991,2.980390799135536,140.20637738398614,-0.6518739791525721,0.0,0.0,0.0,25.486360993403842,16.920799621835535,25.486360993403842,87.82481783753471,-229.592,0.4,0.0,0.06778009146133442,109.54030193026512,171.60221514546095,8.565561371568307
2024-01-30 13:00:00,0.19452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645,0.1645,0.0,0.155619,0.19452,0.155619,-0.03001999999999999,1.5446768783294398,147.01407426757783,1.1216695095126858,0.03001999999999999,0.0,0.0,23.86672559778674,22.87379487832944,23.86672559778674,90.04984933105537,-153.119,0.4,0.04731302099999996,0.0,109.65,145.08647779809567,0.9929307194572985
2024-01-30 14:00:00,0.24748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17972,0.17972,0.0,0.19798,0.24748,0.19798,-0.06776000000000001,3.159591138209481,133.22614008304436,1.5975192520270856,0.06776000000000001,0.0,0.0,25.814755199051096,30.295773138209483,25.814755199051096,87.9182297923891,44.819,0.4,0.0,0.24104942400000007,109.65,143.63874470871966,-4.481017939158388
2024-01-30 15:00:00,0.30215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21388,0.21388,0.0,0.241721,0.30215,0.241721,-0.08826999999999999,3.865150944673395,125.10805951458661,1.3644829133525598,0.08826999999999999,0.0,0.0,30.539143735742876,36.995898444673394,30.539143735742876,100.55807371353347,268.437,0.4,0.0,0.40905862724999986,109.65,142.7863462490316,-6.456754708930518
2024-01-30 16:00:00,0.27141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225441,0.225441,0.0,0.217131,0.27141,0.217131,-0.04596899999999998,2.273241878041981,141.2903651244461,1.4544759444056625,0.04596899999999998,0.0,0.0,32.57295297642213,32.03334837804198,32.57295297642213,110.36790793888473,-18.146000000000008,0.4,0.11094032045249991,0.0,109.65,144.48548833806686,0.5396045983801514
2024-01-30 17:00:00,0.25742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22638,0.22638,0.0,0.23354,0.25742,0.23354,-0.031039999999999984,1.4569453548848637,134.1076357589161,0.7591650139567553,0.031039999999999984,0.0,0.0,32.537892091225864,29.68304835488486,32.537892091225864,122.70023060270977,-234.80900000000003,0.4,0.05058278399999995,0.0,109.65,143.7313017546862,2.854843736341003
2024-01-30 18:00:00,0.13401,0.0,0.00043481,0.0,0.00043481,0.0,0.0,0.0,109.65,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.1609199999999999,0.1609199999999999,0.0,0.15766,0.13487961999999998,0.15766,0.02604037999999992,3.328584674905055,127.82396704291817,-0.4828520467616203,0.0,0.0,0.0,26.97481401110734,18.068436224905057,26.97481401110734,116.99551055770462,-366.824,0.4,0.0,0.10171520858165936,109.28153230265625,167.62872241553168,8.906377786202285
2024-01-30 19:00:00,0.12776,0.0,0.00057763,0.00012121,0.00045642,0.0,0.0,0.0,105.07,0.0,0.0,130.0,130.0,0.0,0.0,0.0,0.0,0.16695,0.16695,0.0,0.15031,0.12891526,0.15031,0.038034739999999984,4.665863294364146,122.67372655535829,-0.683210788125756,0.0,0.0,0.0,26.964601200763507,18.164698394364148,26.964601200763507,109.36421690660426,-172.587,0.4,0.0,0.21699621703013983,104.71091707839706,161.51303504500456,8.79990280639936
2024-01-30 20:00:00,0.18738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17226,0.17226,0.0,0.1499,0.18738,0.1499,-0.015119999999999995,0.7068260969703135,133.5650221032339,0.43084473420089653,0.015119999999999995,0.0,0.0,23.96038882428782,20.39484269697031,23.96038882428782,102.0289047419152,-260.451,0.4,0.012002255999999992,0.0,105.07,139.09432732083954,3.565546127317507
2024-01-30 21:00:00,0.1581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13834,0.13834,0.0,0.12648,0.1581,0.12648,-0.01976,0.9402661293692856,135.9551951083409,0.6102914553408161,0.01976,0.0,0.0,19.277028177585226,17.55183312936928,19.277028177585226,97.80159222914776,-356.855,0.4,0.020499023999999998,0.0,105.07,139.3452954863758,1.7251950482159444
2024-01-30 22:00:00,0.12666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09176,0.09176,0.0,0.10133,0.12666,0.10133,-0.0349,1.722760294538737,141.03645473096498,1.255229270110678,0.0349,0.0,0.0,12.835281234041899,15.030926494538736,12.835281234041899,95.38306317258753,-321.589,0.4,0.08632645874999999,0.0,105.07,139.8788277467513,-2.1956452604968373
2024-01-30 23:00:00,0.10059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09205,0.09205,0.0,0.08047,0.10059,0.08047,-0.008539999999999992,0.3413189535941069,114.1916873851145,0.21465023026887767,0.008539999999999992,0.0,0.0,11.142388056498978,9.299562583594106,11.142388056498978,93.05860153721372,-206.43,0.4,0.00516902714999999,0.0,89.057,121.04712717543703,1.842825472904872
2024-01-31 00:00:00,0.10571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075329,0.075329,0.0,0.08457,0.10571,0.08457,-0.030381000000000005,1.1855676713991525,111.49521753719688,0.6816954869975784,0.030381000000000005,0.0,0.0,9.097031193395246,10.599783141399152,9.097031193395246,88.1092541570078,106.333,0.4,0.0,0.031497551119125,89.057,120.76399784140567,-1.5027519480039064
2024-01-31 01:00:00,0.092175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805589999999999,0.0805589999999999,0.0,0.07374,0.092175,0.07374,-0.011616000000000112,0.4673328851248148,114.94807288587423,0.3007507026423179,0.011616000000000112,0.0,0.0,9.757833552379367,8.676161860124816,9.757833552379367,84.01824578531439,28.366,0.4,0.0,0.004604535936000088,89.057,121.1265476530168,1.0816716922545506
2024-01-31 02:00:00,0.10262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766999999999999,0.0766999999999999,0.0,0.082099,0.10262,0.082099,-0.02592000000000011,1.1135428887413246,122.74502741857584,0.8731936706894895,0.02592000000000011,0.0,0.0,9.353198978315488,10.252572228741325,9.353198978315488,80.50429145356046,-69.333,0.4,0.0476171136000004,0.0,89.057,121.94522787895046,-0.8993732504258372
2024-01-31 03:00:00,0.099525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07126,0.07126,0.0,0.07962,0.099525,0.07962,-0.028265,1.149658063092909,116.21218196082073,0.7675412181225978,0.028265,0.0,0.0,8.64093622908545,10.01305598809291,8.64093622908545,76.82891509794818,45.564,0.4,0.0,0.027262811428124988,89.057,121.25927910588618,-1.372119759007461
2024-01-31 04:00:00,0.090689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771709999999999,0.0771709999999999,0.0,0.072551,0.090689,0.072551,-0.0135180000000001,0.5475480575734956,115.72888161255713,0.3605504956385499,0.0135180000000001,0.0,0.0,9.353783666906866,8.624038330573496,9.353783666906866,81.60593996860715,2260.549,0.4,0.0,0.00623587705650009,89.057,121.20853256931849,0.7297453363333695
2024-01-31 05:00:00,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07106,0.07106,0.0,0.083199,0.104,0.083199,-0.03294,1.4105932629961533,122.35174455686995,1.0967288857032957,0.03294,0.0,0.0,8.662493491662174,10.672521262996153,8.662493491662174,85.05365860782514,-142.528,0.4,0.07690246514999999,0.0,89.057,121.90393317847135,-2.010027771333979
2024-01-31 06:00:00,0.17317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128829,0.128829,0.0,0.13854,0.17317,0.13854,-0.04434099999999999,1.8427998254341322,118.74207524375265,1.316265921383236,0.04434099999999999,0.0,0.0,15.655933648215628,17.264800515434132,15.655933648215628,99.86953989061836,-173.89999999999998,0.4,0.13934905841587492,0.0,89.057,121.52491790059403,-1.608866867218504
2024-01-31 07:00:00,0.25136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191059,0.191059,0.0,0.201088,0.25136,0.201088,-0.060300999999999966,2.926652392507102,138.6687447735813,2.026037908591725,0.060300999999999966,0.0,0.0,26.677609859308046,29.337047592507098,26.677609859308046,106.29153981604674,-252.953,0.4,0.19090105655249975,0.0,105.07,139.63021820122603,-2.659437733199052
2024-01-31 08:00:00,0.29452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24266,0.24266,0.0,0.23562,0.29452,0.23562,-0.05186000000000002,2.4677794678019565,135.95832008164595,1.3643494794341584,0.05186000000000002,0.0,0.0,34.92499182485629,34.76189746780196,34.92499182485629,125.91745479588516,-232.913,0.4,0.1411966290000001,0.0,109.65000000000002,143.92562360857286,0.16309435705433373
