time,power,energy_generation_costs,unit,energy_cashflow,simulation
2023-09-11 09:00:00,-0.12615,14.955,-14.955,TernaAgent,retailer_world
2023-09-11 10:00:00,0.09988,10.065,10.127,Retailer,retailer_world
2023-09-11 10:00:00,-0.085514,10.065,-10.127,TernaAgent,retailer_world
2023-09-11 11:00:00,0.13191,19.548,19.548,Retailer,retailer_world
2023-09-11 11:00:00,-0.16489,19.548,-19.548,TernaAgent,retailer_world
2023-09-11 12:00:00,0.13487,19.986,19.986,Retailer,retailer_world
2023-09-11 12:00:00,-0.16859,19.986,-19.986,TernaAgent,retailer_world
2023-09-11 13:00:00,0.1221,16.765,16.765,Retailer,retailer_world
2023-09-11 13:00:00,-0.14142,16.765,-16.765,TernaAgent,retailer_world
2023-09-11 14:00:00,0.12138,17.987,17.987,Retailer,retailer_world
2023-09-11 14:00:00,-0.15172,17.987,-17.987,TernaAgent,retailer_world
2023-09-11 15:00:00,0.12902,19.119,19.119,Retailer,retailer_world
2023-09-11 15:00:00,-0.16127,19.119,-19.119,TernaAgent,retailer_world
2023-09-11 16:00:00,0.10039,14.877,14.877,Retailer,retailer_world
2023-09-11 16:00:00,-0.12549,14.877,-14.877,TernaAgent,retailer_world
2023-09-11 17:00:00,0.10585,15.686,15.686,Retailer,retailer_world
2023-09-11 17:00:00,-0.13231,15.686,-15.686,TernaAgent,retailer_world
2023-09-11 18:00:00,0.10731,15.902,15.902,Retailer,retailer_world
2023-09-11 18:00:00,-0.13414,15.902,-15.902,TernaAgent,retailer_world
2023-09-11 19:00:00,0.11807,18.903,18.903,Retailer,retailer_world
2023-09-11 19:00:00,-0.14759,18.903,-18.903,TernaAgent,retailer_world
2023-09-11 20:00:00,0.1164,18.636,18.636,Retailer,retailer_world
2023-09-11 20:00:00,-0.1455,18.636,-18.636,TernaAgent,retailer_world
2023-09-11 21:00:00,0.11389,12.399,12.451,Retailer,retailer_world
2023-09-11 21:00:00,-0.097196,12.399,-12.451,TernaAgent,retailer_world
2023-09-11 22:00:00,0.11994,19.203,19.203,Retailer,retailer_world
2023-09-11 22:00:00,-0.14992,19.203,-19.203,TernaAgent,retailer_world
2023-09-11 23:00:00,0.10369,13.738,13.738,Retailer,retailer_world
2023-09-11 23:00:00,-0.12961,13.738,-13.738,TernaAgent,retailer_world
2023-09-12 00:00:00,0.0912,12.083,12.083,Retailer,retailer_world
2023-09-12 00:00:00,-0.114,12.083,-12.083,TernaAgent,retailer_world
2023-09-12 01:00:00,0.08691,11.514,11.514,Retailer,retailer_world
2023-09-12 01:00:00,-0.10864,11.514,-11.514,TernaAgent,retailer_world
2023-09-12 02:00:00,0.082209,10.892,10.892,Retailer,retailer_world
2023-09-12 02:00:00,-0.10276,10.892,-10.892,TernaAgent,retailer_world
2023-09-12 03:00:00,0.083479,11.06,11.06,Retailer,retailer_world
2023-09-12 03:00:00,-0.10435,11.06,-11.06,TernaAgent,retailer_world
2023-09-12 04:00:00,0.088981,11.789,11.789,Retailer,retailer_world
2023-09-12 04:00:00,-0.11123,11.789,-11.789,TernaAgent,retailer_world
2023-09-12 05:00:00,0.09221,12.217,12.217,Retailer,retailer_world
2023-09-12 05:00:00,-0.11526,12.217,-12.217,TernaAgent,retailer_world
2023-09-12 06:00:00,0.10421,11.892,11.892,Retailer,retailer_world
2023-09-12 06:00:00,-0.1122,11.892,-11.892,TernaAgent,retailer_world
2023-09-12 07:00:00,0.13642,21.841,21.841,Retailer,retailer_world
2023-09-12 07:00:00,-0.17052,21.841,-21.841,TernaAgent,retailer_world
2023-09-12 08:00:00,0.18481,18.623,18.623,Retailer,retailer_world
2023-09-12 08:00:00,-0.15709,18.623,-18.623,TernaAgent,retailer_world
2023-09-12 09:00:00,0.17727,26.27,26.27,Retailer,retailer_world
2023-09-12 09:00:00,-0.22159,26.27,-26.27,TernaAgent,retailer_world
2023-09-12 10:00:00,0.16485,24.429,24.429,Retailer,retailer_world
2023-09-12 10:00:00,-0.20606,24.429,-24.429,TernaAgent,retailer_world
2023-09-12 11:00:00,0.16651,24.675,24.675,Retailer,retailer_world
2023-09-12 11:00:00,-0.20814,24.675,-24.675,TernaAgent,retailer_world
2023-09-12 12:00:00,0.15256,15.373,15.44,Retailer,retailer_world
2023-09-12 12:00:00,-0.13031,15.373,-15.44,TernaAgent,retailer_world
2023-09-12 13:00:00,0.16236,21.834,21.834,Retailer,retailer_world
2023-09-12 13:00:00,-0.18417,21.834,-21.834,TernaAgent,retailer_world
2023-09-12 14:00:00,0.17893,26.516,26.516,Retailer,retailer_world
2023-09-12 14:00:00,-0.22366,26.516,-26.516,TernaAgent,retailer_world
2023-09-12 15:00:00,0.19465,28.845,28.845,Retailer,retailer_world
2023-09-12 15:00:00,-0.24331,28.845,-28.845,TernaAgent,retailer_world
2023-09-12 16:00:00,0.2046,30.078,30.078,Retailer,retailer_world
2023-09-12 16:00:00,-0.25371,30.078,-30.078,TernaAgent,retailer_world
2023-09-12 17:00:00,0.20811,30.84,30.84,Retailer,retailer_world
2023-09-12 17:00:00,-0.26014,30.84,-30.84,TernaAgent,retailer_world
2023-09-12 18:00:00,0.15472,15.612,15.612,Retailer,retailer_world
2023-09-12 18:00:00,-0.13169,15.612,-15.612,TernaAgent,retailer_world
2023-09-12 19:00:00,0.14775,23.655,23.655,Retailer,retailer_world
2023-09-12 19:00:00,-0.18469,23.655,-23.655,TernaAgent,retailer_world
2023-09-12 20:00:00,0.15072,24.131,24.131,Retailer,retailer_world
2023-09-12 20:00:00,-0.1884,24.131,-24.131,TernaAgent,retailer_world
2023-09-12 21:00:00,0.13838,22.155,22.155,Retailer,retailer_world
2023-09-12 21:00:00,-0.17297,22.155,-22.155,TernaAgent,retailer_world
2023-09-12 22:00:00,0.12134,19.427,19.427,Retailer,retailer_world
2023-09-12 22:00:00,-0.15168,19.427,-19.427,TernaAgent,retailer_world
2023-09-12 23:00:00,0.11257,14.914,14.914,Retailer,retailer_world
2023-09-12 23:00:00,-0.14071,14.914,-14.914,TernaAgent,retailer_world
2023-09-13 00:00:00,0.1027,13.606,13.606,Retailer,retailer_world
2023-09-13 00:00:00,-0.12837,13.606,-13.606,TernaAgent,retailer_world
2023-09-13 01:00:00,0.09352,10.409,10.409,Retailer,retailer_world
2023-09-13 01:00:00,-0.098206,10.409,-10.409,TernaAgent,retailer_world
2023-09-13 02:00:00,0.0895,11.858,11.858,Retailer,retailer_world
2023-09-13 02:00:00,-0.11188,11.858,-11.858,TernaAgent,retailer_world
2023-09-13 03:00:00,0.09012,11.94,11.94,Retailer,retailer_world
2023-09-13 03:00:00,-0.11265,11.94,-11.94,TernaAgent,retailer_world
2023-09-13 04:00:00,0.0884,11.712,11.712,Retailer,retailer_world
2023-09-13 04:00:00,-0.1105,11.712,-11.712,TernaAgent,retailer_world
2023-09-13 05:00:00,0.089981,11.921,11.921,Retailer,retailer_world
2023-09-13 05:00:00,-0.11248,11.921,-11.921,TernaAgent,retailer_world
2023-09-13 06:00:00,0.10739,14.228,14.228,Retailer,retailer_world
2023-09-13 06:00:00,-0.13424,14.228,-14.228,TernaAgent,retailer_world
2023-09-13 07:00:00,0.15266,24.441,24.441,Retailer,retailer_world
2023-09-13 07:00:00,-0.19082,24.441,-24.441,TernaAgent,retailer_world
2023-09-13 08:00:00,0.18961,28.098,28.098,Retailer,retailer_world
2023-09-13 08:00:00,-0.23701,28.098,-28.098,TernaAgent,retailer_world
