ANNO,MESE,PUN MENSILE FU,PUN MENSILE PK,PUN MENSILE FP,PUN MENSILE F1,PUN MENSILE F2,PUN MENSILE F3
2023,8,111.889380349462,113.493592644927,110.943306431624,110.260526198347,128.123369367816,104.479223689024
2023,9,115.696810930556,123.412132380952,111.542407072649,118.552110909091,128.082027027027,105.990102796053
2023,10,134.255287946309,148.839421136364,126.250690935551,144.555970123967,148.630602068965,119.075744650456
2023,11,121.735991638889,139.79069155303,111.283270635965,139.732378874459,128.255743136095,105.30160584375
2023,12,115.46073719086,130.579016825397,107.717228109756,131.870233535354,118.688498764706,105.360205957447
2024,1,99.1571243413979,110.302408224638,92.5842646153846,109.65328661157,105.070634620253,89.0571072093023
2024,2,87.6259440086207,97.4042774206349,82.0760790990991,96.146938051948,94.9183520118343,76.8125434121622
2024,3,88.8621302960968,97.2487408730159,84.5578006313645,94.9312412987013,94.6170568648649,81.3189313455657
2024,4,86.8030410416666,86.9508548106061,86.7174646491228,85.5683814090909,101.29171152439,80.5395980654762
2024,5,94.8833179166667,97.3441802536232,93.4320401282052,94.6647630578512,111.475250574713,86.2427508231707
2024,6,103.169737861111,106.785013083333,101.36210025,103.806905863636,116.156415722222,95.4266785625
2024,7,112.319978427419,112.780903478261,112.048150833333,108.673501620553,130.625137653631,104.774898717949
2024,8,128.435012083333,127.414009924242,128.996563270833,121.670468311688,147.953217891892,122.190321646341
2024,9,117.125843430556,126.61320734127,112.017262863248,122.329264458875,131.735945207101,105.653663875
2024,10,116.688239463087,127.166097137681,110.5221654371,123.775337470356,126.631076703911,105.273531277955
2024,11,130.889101430556,145.036694603175,123.271166645299,145.5915185,137.375209944444,117.13275365625
2024,12,135.0648125,156.009152348485,123.545425583333,158.472337863636,145.932981219512,115.809159027778
2025,1,143.02827952957,157.961585072464,134.221458311966,158.320510952381,151.614749704142,128.541015232558
2025,2,150.361043229167,159.543732291667,145.259549305555,157.641229727273,158.953325,139.906962534722
2025,3,120.548435787349,125.387226309524,118.064983217923,121.677546277056,134.862370216216,111.652709816514
2025,4,99.8536440833334,97.2563011363636,101.357368947368,95.8401356363636,115.078342073171,95.0504339285714
2025,5,93.5756699731183,89.8572237878788,95.620815375,89.0877198268399,110.635278054054,87.1143559146342
2025,6,111.782968152778,113.862820634921,110.66304758547,113.064678409091,126.764720914634,103.631230922619
2025,7,113.130195040323,111.804298224638,113.912134188034,108.964404229249,127.103938547486,108.491236666667
2025,8,108.788999717742,108.110953055556,109.136291910569,105.581869045455,117.971798111111,106.035119011628
2025,9,109.075913486111,113.155701212121,106.713931118421,109.594566487603,120.931222758621,101.87743375
2025,10,111.042476644295,120.414582789855,105.52712206823,117.830398142293,121.661387206704,99.4829586581469
2025,11,117.08504769,130.67901417,110.28806446,129.59057191,124.02320518,105.51042521
2025,12,115.489527096774,127.741381195652,108.264074679487,130.091396772727,119.97968847561,104.520644333333
